objectid,parentid,object_location,image_small,image_thumb,stope book name,stope book number,location,volume,sill number,subject,title,comments,county,district,latitude,longitude,geomethod,datum,date,company,source,township,range,section,format,type,display_template,rights,rightsstatement
bsb001,,/objects/G23_Vol_1_NBM.pdf,/objects/small/g23_vol_1_nbm_sm.jpg,/objects/thumbs/g23_vol_1_nbm_th.jpg,Travona,G23,G23,1,Surface - 1200,Pearce; Star West; Wolcott; Travona,G23 Vol. 1 Travona,"Surface, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200",Silver Bow,Butte,46.004873,-112.54989,Google Earth,Wgs84,1897,Anaconda Copper Mining Company,New Butte Mining Company,03N,08W,24,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb002,,/objects/G25_Vol_1_MR.pdf,/objects/small/g25_vol_1_mr_sm.jpg,/objects/thumbs/g25_vol_1_mr_th.jpg,Ophir - West,G25,G25,1,Surface - 1000,Bannister; Ophir; Travona; Spruce; Emma,G25 Vol. 1 Ophir - West,"100, 150, 200, 300, 350, 500, 800, 1000",Silver Bow,Butte,46.002521,-112.541229,Google Earth,Wgs84,,Anaconda Copper Mining Company,Montana Resources,03N,08W,24,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb003,,/objects/G27_Vol_1_MR.pdf,/objects/small/g27_vol_1_mr_sm.jpg,/objects/thumbs/g27_vol_1_mr_th.jpg,Ophir - East,G27,G27,1,Surgace - 500,Ophir; Travona,G27 Vol. 1 Ophir - East,"100, 200, 300, 500, 800",Silver Bow,Butte,46.002523,-112.532571,Google Earth,Wgs84,,Anaconda Copper Mining Company,Montana Resources,03N,08W,13,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb004,,/objects/H25_Vol_1_NBM.pdf,/objects/small/h25_vol_1_nbm_sm.jpg,/objects/thumbs/h25_vol_1_nbm_th.jpg,Travona East,H25,H25,1,Surface,Travona; Emma; Clark,H25 Vol. 1 Travona East,Surface,Silver Bow,Butte,46.004785,-112.541272,Google Earth,Wgs84,1897,Anaconda Copper Mining Company,New Butte Mining Company,03N,08W,13,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb005,,/objects/Misc_2_Vol_3_I17_BSBPA.pdf,/objects/small/misc_2_vol_3_i17_bsbpa_sm.jpg,/objects/thumbs/misc_2_vol_3_i17_bsbpa_th.jpg,Miscellaneous 2 Volume 3,I17,I17,3,,Garibaldi; Minnie Jane,I17 Misc. 2 Vol. 3,"Surface, 100 Sill, 200 Sill, 300 Sill, 400 Sill",Silver Bow,Butte,46.007016,-112.575906,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,07W,15,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb006,,/objects/Misc_2_Vol_3_I19_BSBPA.pdf,/objects/small/misc_2_vol_3_i19_bsbpa_sm.jpg,/objects/thumbs/misc_2_vol_3_i19_bsbpa_th.jpg,Miscellaneous 2 Volume 3,I19,I19,3,,North Pole Lease; AC Fisher Lease; Minnie Jane; Germania; Orphan Girl; Elba; Soudan; Sunny Dell; Child Harlod; Preferencia,I19 Misc. 2 Vol. 3 ,"Shaft, 53, 60, 150, 200, 300, 400, 500, 600, 1500, 2800",Silver Bow,Butte,46.007016,-112.567291,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,14,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb007,,/objects/Misc_2_Vol_3_I21_BSBPA.pdf,/objects/small/misc_2_vol_3_i21_bsbpa_sm.jpg,/objects/thumbs/misc_2_vol_3_i21_bsbpa_th.jpg,Miscellaneous 2 Volume 3,I21,I21,3,,Elba,I21 Misc. 2 Vol. 3,70,Silver Bow,Butte,46.007016,-112.558562,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,14,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb008,,/objects/I23_Vol_1_NBM.pdf,/objects/small/i23_vol_1_nbm_sm.jpg,/objects/thumbs/i23_vol_1_nbm_th.jpg,Travona North,I23,I23,1,Surface - 1100,Travona,I23 Vol. 1 Travona North,"Surface, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100",Silver Bow,Butte,46.006922,-112.54988,Google Earth,Wgs84,1897,Anaconda Copper Mining Company,New Butte Mining Company,03N,08W,14,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb009,,/objects/I25_Vol_3_BSBPA.pdf,/objects/small/i25_vol_3_bsbpa_sm.jpg,/objects/thumbs/i25_vol_3_bsbpa_th.jpg,Emma,I25,I25,3,1000 - 2100,Emma; Travona; Original,I25 Vol. 3 Emma,"1000, 1100, 1200, 1400, 1600, 1700, 1800, 2100",Silver Bow,Butte,46.006931,-112.541272,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,13,application/pdf,Image;StillImage,pdf,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
bsb010,,/objects/I27_Vol_1_MR.pdf,/objects/small/i27_vol_1_mr_sm.jpg,/objects/thumbs/i27_vol_1_mr_th.jpg,Emma,I27,I27,,200 - 2100,Emma; Cave,I27 Emma,"17, 600, 800, 999, 1700, 1800, 1900, 2000, 2100",Silver Bow,Butte,46.006913,-112.532578,Google Earth,Wgs84,,Anaconda Copper Mining Company,Montana Resources,03N,08W,13,image/jpeg,Image;StillImage,compound_object,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/
